time,user_id,seq_id,scenario,acc_magnitude,gyro_magnitude,skin_contact,heart_rate,packet_status,is_interpolated,motion_score,wear_score,data_quality_score,raw_decision,final_decision,latched_event,reason
1779982498.2954216,U1,0,normal_idle,0.0260,2.7177,1,71,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982500.1598938,U1,2,normal_idle,0.0705,2.5265,1,71,received,False,0.00,1.00,0.60,NORMAL,NORMAL,,정상 활동 범위
1779982500.5560806,U1,3,normal_idle,0.0416,5.6933,1,72,received,False,0.00,1.00,0.70,NORMAL,NORMAL,,정상 활동 범위
1779982501.50614,U1,5,normal_idle,0.0697,1.1356,1,72,received,False,0.00,1.00,0.73,NORMAL,NORMAL,,정상 활동 범위
1779982501.8605876,U1,6,normal_idle,0.0138,5.8485,1,72,received,False,0.00,1.00,0.77,NORMAL,NORMAL,,정상 활동 범위
1779982504.5709095,U1,8,normal_idle,0.0547,1.4194,1,71,received,False,0.00,1.00,0.69,NORMAL,NORMAL,,정상 활동 범위
1779982504.9293025,U1,9,normal_idle,0.0347,2.3254,1,71,received,False,0.00,1.00,0.72,NORMAL,NORMAL,,정상 활동 범위
1779982505.4124084,U1,10,normal_idle,0.0630,5.1120,1,72,received,False,0.00,1.00,0.75,NORMAL,NORMAL,,정상 활동 범위
1779982505.993476,U1,11,normal_idle,0.0480,0.8142,1,72,received,False,0.00,1.00,0.77,NORMAL,NORMAL,,정상 활동 범위
1779982506.857047,U1,13,normal_idle,0.0743,2.5049,1,72,received,False,0.00,1.00,0.83,NORMAL,NORMAL,,정상 활동 범위
1779982507.4596403,U1,14,normal_idle,0.0665,1.5663,1,71,received,False,0.00,1.00,0.83,NORMAL,NORMAL,,정상 활동 범위
1779982508.0364823,U1,15,normal_idle,0.0707,0.9569,1,71,received,False,0.00,1.00,0.83,NORMAL,NORMAL,,정상 활동 범위
1779982508.713169,U1,16,normal_idle,0.0199,4.0476,1,72,received,False,0.00,1.00,0.87,NORMAL,NORMAL,,정상 활동 범위
1779982509.7157116,U1,18,normal_idle,0.0709,2.8609,1,72,received,False,0.00,1.00,0.83,NORMAL,NORMAL,,정상 활동 범위
1779982510.1632545,U1,19,normal_idle,0.0548,5.3262,1,73,received,False,0.00,1.00,0.93,NORMAL,NORMAL,,정상 활동 범위
1779982511.0528314,U1,21,normal_idle,0.0297,2.0753,1,72,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982511.8807247,U1,23,normal_idle,0.0735,0.6839,1,70,received,False,0.00,1.00,0.87,NORMAL,NORMAL,,정상 활동 범위
1779982513.6578903,U1,25,normal_idle,0.0465,1.0081,1,69,received,False,0.00,1.00,0.80,NORMAL,NORMAL,,정상 활동 범위
1779982514.2713935,U1,26,normal_idle,0.0137,4.4005,1,69,received,False,0.00,1.00,0.80,NORMAL,NORMAL,,정상 활동 범위
1779982514.9471626,U1,28,normal_idle,0.0343,0.7959,1,69,received,False,0.00,1.00,0.77,NORMAL,NORMAL,,정상 활동 범위
1779982515.435914,U1,29,normal_idle,0.0411,4.9169,1,70,received,False,0.00,1.00,0.80,NORMAL,NORMAL,,정상 활동 범위
1779982515.7953243,U1,30,normal_idle,0.0178,0.6257,1,69,received,False,0.00,1.00,0.80,NORMAL,NORMAL,,정상 활동 범위
1779982516.1923594,U1,31,normal_idle,0.0566,4.1745,1,69,received,False,0.00,1.00,0.80,NORMAL,NORMAL,,정상 활동 범위
1779982516.7259665,U1,32,normal_idle,0.0413,5.9224,1,70,received,False,0.00,1.00,0.83,NORMAL,NORMAL,,정상 활동 범위
1779982517.0847385,U1,33,normal_idle,0.0540,5.7287,1,70,received,False,0.00,1.00,0.83,NORMAL,NORMAL,,정상 활동 범위
1779982517.6301968,U1,34,normal_idle,0.0452,4.3462,1,70,received,False,0.00,1.00,0.87,NORMAL,NORMAL,,정상 활동 범위
1779982518.0370946,U1,35,normal_idle,0.0681,0.6202,1,69,received,False,0.00,1.00,0.87,NORMAL,NORMAL,,정상 활동 범위
1779982518.6824753,U1,36,normal_idle,0.0429,2.3170,1,69,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982519.0488114,U1,37,normal_idle,0.0617,1.4936,1,69,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982519.7349339,U1,38,normal_idle,0.0600,1.1242,1,69,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982520.188467,U1,39,normal_idle,0.0147,4.3198,1,70,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982520.9082367,U1,41,normal_idle,0.0617,4.1795,1,69,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982521.5234566,U1,42,normal_idle,0.0622,0.5735,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982522.0791438,U1,43,normal_idle,0.0654,1.9756,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982522.6720757,U1,44,normal_idle,0.0254,1.5675,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982523.1455874,U1,45,normal_idle,0.0255,5.4417,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982523.842655,U1,46,normal_idle,0.0297,1.9599,1,71,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982524.3673584,U1,47,normal_idle,0.0229,4.4905,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982525.0017877,U1,48,normal_idle,0.0418,5.9898,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982525.4445386,U1,49,normal_idle,0.0204,4.0450,1,71,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982526.1503093,U1,50,normal_idle,0.0314,2.1570,1,71,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982526.8076904,U1,52,normal_idle,0.0201,1.6226,1,71,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982527.4724963,U1,54,normal_idle,0.0346,0.5509,1,70,received,False,0.00,1.00,0.93,NORMAL,NORMAL,,정상 활동 범위
1779982528.0533645,U1,55,normal_idle,0.0327,5.2661,1,70,received,False,0.00,1.00,0.93,NORMAL,NORMAL,,정상 활동 범위
1779982528.9463716,U1,57,normal_idle,0.0395,0.9546,1,69,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982529.6097014,U1,58,normal_idle,0.0317,5.1170,1,69,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982529.9671392,U1,59,normal_idle,0.0273,2.1930,1,69,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982530.5172508,U1,60,normal_idle,0.0678,0.7596,1,69,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982530.8855789,U1,61,normal_idle,0.0734,4.2829,1,70,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982531.4439044,U1,62,normal_idle,0.0680,3.2985,1,70,received,False,0.00,1.00,0.90,NORMAL,NORMAL,,정상 활동 범위
1779982531.8507009,U1,63,normal_idle,0.0409,5.1984,1,70,received,False,0.00,1.00,0.93,NORMAL,NORMAL,,정상 활동 범위
1779982532.2704256,U1,64,normal_idle,0.0757,0.7505,1,70,received,False,0.00,1.00,0.93,NORMAL,NORMAL,,정상 활동 범위
1779982532.6514313,U1,65,normal_idle,0.0378,3.4491,1,70,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982533.2860649,U1,66,normal_idle,0.0434,3.6550,1,69,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982533.7161043,U1,67,normal_idle,0.0725,3.6937,1,68,received,False,0.00,1.00,0.97,NORMAL,NORMAL,,정상 활동 범위
1779982534.220459,U1,68,normal_idle,0.0519,4.1054,1,69,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982534.6286414,U1,69,normal_idle,0.0208,4.3676,1,71,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982535.3155875,U1,70,normal_idle,0.0115,3.5613,1,72,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982535.7357872,U1,71,normal_idle,0.0366,1.4521,1,71,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982536.1292872,U1,72,normal_idle,0.0452,2.8246,1,72,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982536.616136,U1,73,normal_idle,0.0226,3.2796,1,72,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982537.2834406,U1,74,normal_idle,0.0522,0.8126,1,72,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982537.8270164,U1,75,normal_idle,0.0528,4.5000,1,72,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982538.353754,U1,76,normal_idle,0.0266,3.2170,1,72,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982538.8538952,U1,77,normal_idle,0.0745,1.4433,1,71,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982540.2967243,U1,78,normal_idle,0.0410,1.7126,1,71,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982541.7162662,U1,79,normal_idle,0.0549,1.0141,1,70,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982543.2126894,U1,80,normal_idle,0.0507,1.6923,1,70,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982543.6945877,U1,81,normal_idle,0.0558,2.0537,1,70,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982544.269791,U1,82,normal_idle,0.0765,3.0587,1,70,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
1779982545.787844,U1,83,normal_idle,0.0346,3.2947,1,70,received,False,0.00,1.00,1.00,NORMAL,NORMAL,,정상 활동 범위
